chr5	48800000	51000000	q11.1	gneg
chr5	67000000	70000000	q13	gneg
chr5	150000000	160500000	q33	gneg
chr5	177100000	181538259	q35.3	gneg
chr5	67000000	70000000	q13	gneg
chr5	150000000	160500000	q33	gneg
chr6	0	2300000	p25.3	gneg
chr6	25000000	30500000	p22.1	gpos25
chr6	105000000	110000000	q21	gneg
chr6	158000000	160600000	q25.3	gneg
chr7	77900000	80000000	q21	gneg
chr7	120000000	127500000	q31.33	gneg
chr7	127500000	132900000	q32	gneg
chr10	0	133000000	p11	gneg
chr13	48000000	50000000	q14.2	gneg
chr13	90000000	95000000	q22.1	gneg
chr18	0	80373285	p11	gneg
chr4	48000000	52000000	q12	gneg
chr4	85000000	90000000	q21.3	gneg
